restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude,url,image_url
Nyonya Palazzo,"Malaysian,Asian","29, Church St, George Town, Penang Island 10200 Malaysia",,4.5,3,5.4179133,100.3412375,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d23258432-Reviews-Nyonya_Palazzo-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/25/25/7b/4c/nasi-kerabu-with-chicken.jpg
Barista Haus Cafe,"Cafe,Fast food","Jalan Pintal Tali Level 1, George Town, Penang Island 10100 Malaysia",1,,0,5.4166409,100.3337959,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d10182871-Reviews-Barista_Haus_Cafe-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Heng Seafood,Seafood,"192 Jalan Burma, George Town, Penang Island 10350 Malaysia",,,0,5.4279721,100.3159133,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d14189558-Reviews-Heng_Seafood-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Yippee Steamboat,Chinese,"86 Jalan Rangoon, George Town, Penang Island 10400 Malaysia",1,,0,5.4172119,100.3239277,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d10060839-Reviews-Yippee_Steamboat-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0b/37/25/ab/deep-fried-salmon-fish.jpg
101 Coffee,Cafe,"17A, Ground Floor, Taman Seri Damai, Lebuhraya Batu Lanchang, George Town, Penang Island 11600 Malaysia",,,0,5.388728,100.308087,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d12378816-Reviews-101_Coffee-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0f/4c/75/e0/101-coffee.jpg
Bistro Halia Nasi Kandar,"Asian,Healthy,Singaporean,Indian","2-1-1a, The Latitude, Persiaran Halia 3, George Town, Penang Island 11200 Malaysia",,,0,5.4498979,100.297524,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d23423888-Reviews-Bistro_Halia_Nasi_Kandar-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Wong Kok Penang,"Hong Kong,Chinese","Jalan kelawai, George Town, Penang Island Malaysia",,,0,5.4330396,100.3129623,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d4609336-Reviews-Wong_Kok_Penang-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Cafe Winwshop,Chinese,,,,0,,,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5264256-Reviews-Cafe_Winwshop-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Fatboy Cafe,"Malaysian,Lombard,Northern-Italian,Asian","117 A, Annex Building A,victoria Street Pulau Pinang, George Town, Penang Island 10300 Malaysia",,,0,5.4123126,100.3368632,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d21348860-Reviews-Fatboy_Cafe-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Mayura Spice Kitchen,"Asian,Malaysian,Indian","83, Lebuh China, George Town, Penang Island 10200 Malaysia",,,0,5.4179362,100.3393189,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d23743693-Reviews-Mayura_Spice_Kitchen-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
2nd Hand Smoke,"Chinese,Barbecue,Asian","3, Upper Penang Road, George Town, Penang Island 10000 Malaysia",2,5,11,5.4189016,100.3317942,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d23825861-Reviews-2nd_Hand_Smoke-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/25/16/bb/1a/id.jpg
Ostrea,"Fusion,Seafood","15, Lebuh Leith, George Town, Penang Island 10200 Malaysia",,,0,5.4206833,100.3349227,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d23877516-Reviews-Ostrea-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Martini Cafe,"Malaysian,Asian","Persiaran Gurney, George Town, Penang Island 11250 Malaysia",,,0,5.4344703,100.3148649,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d3318570-Reviews-Martini_Cafe-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Boston Coffee,Southwestern,"257,Lebuh Victoria, George Town, Penang Island 10300 Malaysia",1,,0,5.415894,100.3414129,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d21361299-Reviews-Boston_Coffee-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/23/87/db/50/live-music-cafe.jpg
Rabbit Softserve,,,1,,0,,,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d20301824-Reviews-Rabbit_Softserve-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Love Corner,"Chinese,American,Asian","No 290, Lebuh Chulia, George Town, Penang Island 10200 Malaysia",1,,0,5.4182148,100.3367421,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d20205338-Reviews-Love_Corner-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Night Live Cafe & Bar,,,1,,0,,,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d20301608-Reviews-Night_Live_Cafe_Bar-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
BOBZ Cafe,,,1,,0,,,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d12326706-Reviews-BOBZ_Cafe-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
Si Chuan Restaurant,,,1,,0,,,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d12840373-Reviews-Si_Chuan_Restaurant-George_Town_Penang_Island_Penang.html,https://www.generationsforpeace.org/wp-content/uploads/2018/03/empty.jpg
