restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
Olive Kitchen + Bar,"Indian,Bar,Pub","3J Jalan Penang, George Town, Penang Island 10000 Malaysia",2,4,302,5.4176385,100.3316512
Guan Guan Cafe,"Chinese,Asian,Malaysian","Jalan Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",1,4,379,5.477061,100.2533085
Three Sixty Revolving Restaurant Skybar,"Bar,Asian,Malaysian","Three Sixty Revolving Restaurant Skybar 25-A Lebuh Farquhar George Town, Penang Island 10200 Malaysia",2,4,329,5.422183,100.336097
Ayer Itam Penang Assam Laksa,"Asian,Malaysian","Jalan Pasar Ayer Itam, Penang Island Malaysia",1,4,355,5.4014545,100.2773491
Makan Kitchen,"Asian,Malaysian,Vegetarian Friendly","56 Jalan Low Yat Lower Ground Floor of DoubleTree Resort by Hilton Penang, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,187,5.4775017,100.2694728
Woodlands Vegetarian Restaurant,"Indian,Asian,Vegetarian Friendly","60 Lebuh Penang, George Town, Penang Island 10200 Malaysia",1,4,427,5.417984,100.3405568
Mr. Shawerma,"Middle Eastern,Vegetarian Friendly,Vegan Options","Lebuh Chulia 273a, George Town, Penang Island 10200 Malaysia",1,4.5,116,5.4179103,100.3368081
Miami Cafe,"Bar,Cafe,Asian","19 Batu Ferringhi Road, Penang Island 11100 Malaysia",1,,0,5.47124,100.246491
Bean Sprout Cafe,"American,Cafe,British","35 Jalan Masjid Kapitan Keling, Penang Island 10200 Malaysia",2,4.5,92,5.4180163,100.3387598
Emily's Steakhouse Penang,"Steakhouse,British","89, Muntri Street, George Town, Penang Island 10300 Malaysia",2,4,186,5.4201704,100.3348581
Ferringhi Coffee Garden,"Cafe,International,Vegetarian Friendly","43-D Batu Ferringhi 11100, Penang Island Malaysia",2,4.5,190,5.47124,100.246491
Sri Weld Food Court,"Asian,Malaysian","Lebuh Pantai Colonial District, George Town, Penang Island Malaysia",1,4,111,5.415099,100.339043
The Jetty Food Court,"Chinese,Asian,Malaysian","49-F Pengkalan Weld, George Town, Penang Island Malaysia",1,4,132,5.4133102,100.3391866
Urban Daybreak,"Cafe,Vegetarian Friendly,Vegan Options","338 Lebuh Pantai, George Town, Penang Island 10300 Malaysia",2,4.5,137,5.413441,100.3371634
Smokepapa BBQ,"American,Southwestern,Fast food","41 Lebuh Bishop, George Town, Penang Island 10200 Malaysia",1,5,43,5.4184744,100.3417017
Mish Mash,"Bar,European,Pub","24 Lebuh Muntri, George Town, Penang Island 10200 Malaysia",2,4.5,170,5.4199358,100.3361757
Moh Teng Pheow Nyonya Koay Penang,"Asian,Nonya/Malaysian,Malaysian","Lebuh Chulia Entrance on Jalan Masjid, Off Chulia Street, George Town, Penang Island 10200 Malaysia",2,4,204,5.4183589,100.336095
Yeng Keng Cafe,"Chinese,Cafe,Asian","36, Chulia Street, George Town, Penang Island Malaysia",2,4,183,5.4160839,100.3390747
Kedai Kopi Ho Ping,"Chinese,Asian,Malaysian","Jalan Kampung Malabar Off Penang Road, George Town, Penang Island 10100 Malaysia",1,4.5,98,5.4194076,100.3321584
Viva Local Food Haven,"Asian,Malaysian","Jalan Tanjong Tokong, Tanjung Tokong, Penang Island 10470 Malaysia",1,4,123,5.4477986,100.3053998
The Brick Cafe,"German,Cafe,Asian","17, Seck Chuan Lane, George Town, Penang Island 10200 Malaysia",1,4.5,63,5.4357304,100.3441758
Maple Palace Restaurant,"Chinese,Asian,Cantonese","47 Jalan Sultan Ahmad Shah 10050, George Town, Penang Island 10050 Malaysia",2,4,121,5.4259746,100.3230015
Kim Haus,"Italian,American,Bar","9 Campbell Street, George Town, Penang Island 10100 Malaysia",2,4,169,5.4171306,100.335193
Foong Wei Heong Restaurant,"Chinese,Asian,Cantonese","Sri Bahari Road, George Town, Penang Island Malaysia",2,4,152,5.421174,100.3319824
Awesome Canteen at Sekeping Victoria,"Japanese,American,Cafe","164 Lebuh Victoria Sekeping Victoria, George Town, Penang Island 10300 Malaysia",2,4,166,5.4136096,100.3394176
Teels Heritage Cafe,"Cafe,Asian,Vegetarian Friendly","144-G H Burmah Rd, George Town, Penang Island 10050 Malaysia",2,4.5,67,5.4321233,100.3287399
